Run,GA_200_default,GA_200_optimized,GA_200_optimized_1000gen,GA_200_optimized_expanded_2000gen,GA_200_optimized_expanded_3000gen,GA_200_optimized_expanded_4000gen,GA_200_optimized_expanded_5000gen,GA_200_optimized_expanded_6000gen,GA_200_optimized_expanded_7000gen,GA_200_optimized_expanded_7000gen_pop200,GA_200_optimized_expanded_5000+gen
1,30664.807641,26704.006791,19103.233993,14597.367252,12432.502034,11789.050054,11529.536059,10466.290910,10771.075425,11147.0489730,11451.569470
2,30658.623784,27837.441862,19636.004637,14899.368024,12440.907760,11723.386621,12028.438158,10780.357828,11278.867370,10489.8531374,11198.493672
3,28912.221050,26988.891539,19062.108640,14192.662771,13182.505610,11452.013924,10648.839572,11117.091637,10636.789921,10796.2935064,11471.221534
4,29931.756656,26238.567269,18469.010077,14246.777240,12227.990911,12107.682717,11747.216533,10937.218765,10989.953158,10783.1299010,11760.961305
5,29808.582204,26434.001150,19980.592906,14118.969540,12619.946150,11833.108382,11511.068578,11167.015520,11191.560078,10815.3937901,11088.400192
6,27422.972861,26129.205001,19698.354528,13790.362068,12025.491061,11494.586897,11075.137507,11171.164525,11604.367577,10884.6111930,11151.179208
7,30468.643375,26381.522599,19045.127654,13979.204818,12440.950021,12192.819071,11229.018508,10903.617877,10795.878987,10642.7153621,11107.212189
8,29755.483682,25823.813264,19098.760272,13894.503036,12852.614708,12021.410910,11356.253483,11264.744393,10745.471004,10788.8610315,11212.552546
9,30444.516159,26091.802455,18990.848543,13731.121290,12632.965402,12033.207787,11214.300122,10693.200674,11043.449547,10625.3593281,10978.510601
10,29065.291391,26758.861630,18616.271155,13570.449070,12876.791380,11833.557151,11639.878577,11536.679147,11023.165006,10661.9112260,11914.139812