Run,GA_300_default,GA_300_default_1000gen,GA_300_optimized_500gen,GA_300_optimized_1000gen
1,57712.466126,42166.633376,47019.579731,33476.114124
2,59502.182405,41878.619836,46952.196178,33126.810467
3,59663.987309,45129.621885,49860.257131,34925.855916
4,57433.034288,44132.889109,48198.898040,33539.818652
5,60901.771805,42053.839477,47347.034923,33544.004699
6,57367.792878,40353.944169,46632.148360,32927.562807
7,56972.361396,45135.737041,47916.933508,34125.095642
8,58389.314258,43745.880091,48674.729572,34796.647306
9,57866.301115,41949.059228,47509.957622,34460.066860
10,60389.313815,43528.102382,47743.934704,34147.993666