Run,GA_popexp_40cities_40pop_500gen,GA_popexp_40cities_100pop_500gen,GA_popexp_100cities_40pop_500gen,GA_popexp_100cities_100pop_500gen
1,5299.702544,5132.366461,12799.95247,10576.57790
2,5436.922478,5064.955562,12822.10277,10010.48964
3,5172.611982,5204.002724,12634.92498,10663.31816
4,5176.667460,5086.245295,11689.79719,10412.23577
5,5462.663692,5068.949469,12581.69032,10526.14193
6,5279.847403,5078.424621,13608.15721,10480.65579
7,5234.914225,4957.362999,13509.69346,10049.52110
8,5266.917313,4932.434984,12674.75449,10138.13114
9,5052.898908,5035.873683,13010.86964,10322.80276
10,5273.514545,4951.065374,13244.65037,10884.0693